PESEL		Title			First_name	Last_name	Gender		Date_of_birth	ProfessorID

45010456697	Endowed_Prof		Brian		Russell		Male		04.01.1945	10766
45010507235	Endowed_Prof		Aaron		Campbell	Male		05.01.1945	11530
45010618638	Endowed_Prof		Chloe		Morris		Female		06.01.1945	10757
45010758236	Lecturer		Becky		Perry		Female		07.01.1945	11652
45011114798	Assistant_Professor	Roselle		Edwards		Female		11.01.1945	11014
45012244963	Research_Professor	Frederick	Nguyen		Male		22.01.1945	11136
45012288350	Distinguished_Prof	Carl		Stewart		Male		22.01.1945	11567
45012327982	Lecturer		Liam		Nelson		Male		23.01.1945	11357
45012812267	Research_Professor	Daniel		Jones		Male		28.01.1945	10918
45021081980	Lecturer		Todd		Gonzales	Male		10.02.1945	10920
45021946566	Associate_Professor	Katie		Robinson	Female		19.02.1945	11279
45022040221	Assistant_Professor	Brian		Wilson		Male		20.02.1945	10067
45022229697	Research_Professor	Darren		Long		Male		22.02.1945	11049
45022673316	Research_Professor	Sherri		Allen		Female		26.02.1945	10835
45030739548	Research_Associate	Emily		Edwards		Female		07.03.1945	11377
45032369503	Lecturer		Ginny		Jenkins		Female		23.03.1945	10300
45033080840	Distinguished_Prof	Carl		Campbell	Male		30.03.1945	10393
45041722894	Endowed_Prof		Oliver		Jackson		Male		17.04.1945	10825
45043052953	Distinguished_Prof	Dorothy		Perry		Female		30.04.1945	12179
45050344078	Research_Associate	Nicole		Wood		Female		03.05.1945	11595
45050367707	Assistant_Professor	Victoria	Jenkins		Female		03.05.1945	10100
45050734606	Full_Professor		Ysabel		Phillips	Female		07.05.1945	12132
45051128181	Instructor		Anna		Davis		Female		11.05.1945	10489
45051320210	Lecturer		Amanda		Johnson		Female		13.05.1945	10079
45051472181	Research_Professor	Linda		Bailey		Female		14.05.1945	10904
45051804833	Lecturer		Lucy		Green		Female		18.05.1945	10580
45060533066	Associate_Professor	Frederick	Gonzales	Male		05.06.1945	11443
45061402270	Instructor		Madison		Lewis		Female		14.06.1945	12102
45062178624	Distinguished_Prof	Carl		Baker		Male		21.06.1945	10508
45062553598	Assistant_Professor	Evan		Davis		Male		25.06.1945	11861
45070215201	Instructor		Simon		Ortiz		Male		02.07.1945	11678
45070424124	Lecturer		Luke		Lopez		Male		04.07.1945	10345
45071094932	Research_Professor	Claire		Bell		Female		10.07.1945	11211
45071176112	Research_Associate	Jacob		Lee		Male		11.07.1945	10304
45071258183	Distinguished_Prof	Andrew		Cruz		Male		12.07.1945	10800
45071549859	Adjunct_Professor	Paul		Murphy		Male		15.07.1945	10926
45071893611	Adjunct_Professor	Zoe		Stewart		Female		18.07.1945	10484
45073124989	Associate_Professor	Ryan		Wilson		Male		31.07.1945	11664
45080985188	Full_Professor		Valentina	Thomas		Female		09.08.1945	11411
45081639209	Full_Professor		Christopher	Morgan		Male		16.08.1945	11360
45082575171	Associate_Professor	Racherl		Young		Female		25.08.1945	10319
45090152851	Instructor		Cassandra	Allen		Female		01.09.1945	11585
45090907446	Research_Associate	Terrance	Evans		Male		09.09.1945	10275
45091080897	Endowed_Prof		Roselle		Allen		Female		10.09.1945	11217
45091346694	Distinguished_Prof	Wanda		Flores		Female		13.09.1945	11243
45091644988	Adjunct_Professor	Barbara		Carter		Female		16.09.1945	10646
45092492617	Assistant_Professor	Claire		Allen		Female		24.09.1945	11451
45092675876	Distinguished_Prof	Bella		Powell		Female		26.09.1945	10472
45092971598	Instructor		Lily		Gray		Female		29.09.1945	11712
45100352874	Endowed_Prof		Charlotte	Morales		Female		03.10.1945	12169
45100850085	Endowed_Prof		Kevin		Richardson	Male		08.10.1945	12090
45101922046	Research_Associate	Brad		Sanders		Male		19.10.1945	10277
45102414030	Full_Professor		Sherri		Moore		Female		24.10.1945	10928
45102433264	Lecturer		Brian		Ross		Male		24.10.1945	11911
45103159944	Full_Professor		Elana		Sanders		Female		31.10.1945	11308
