PESEL		Title			First_name	Last_name	Gender		Date_of_birth	Professor_ID	Professor_e-mail

55033146219	Research_Associate	Larry		Brown		Male		31.3.1955	1253		1253@professor.email.com
64032646223	Distinguished_Prof	Simon		Scott		Male		26.3.1964	1260		1260@professor.email.com
76102546229	Assistant_Professor	Larry		Brown		Male		25.10.1976	1264		1264@professor.email.com
78110446230	Lecturer		Elizabeth	Smith		Female		4.11.1978	1274		1274@professor.email.com
53022646247	Distinguished_Prof	Claire		Martinez	Female		26.2.1953	1284		1284@professor.email.com
73091046265	Research_Professor	Charlotte	Myers		Female		10.9.1973	1291		1291@professor.email.com
80081046281	Assistant_Professor	Emma		Ward		Female		10.8.1980	1299		1299@professor.email.com
83101646283	Research_Professor	Elizabeth	Edwards		Female		16.10.1983	1305		1305@professor.email.com
83011846294	Distinguished_Prof	Ryan		Johnson		Male		18.1.1983	1307		1307@professor.email.com
84042146314	Associate_Professor	Fiora		Moore		Female		21.4.1984	1317		1317@professor.email.com
71082146322	Research_Professor	Garrett		Thomas		Male		21.8.1971	1324		1324@professor.email.com
62072146332	Adjunct_Professor	Clea		Powell		Female		21.7.1962	1334		1334@professor.email.com
80031346336	Research_Associate	Brandon		Reyes		Male		13.3.1980	1338		1338@professor.email.com
79070446352	Lecturer		Gary		Powell		Male		4.7.1979	1345		1345@professor.email.com
63010446359	Endowed_Prof		Marvin		Martin		Male		4.1.1963	1347		1347@professor.email.com
66011246362	Distinguished_Prof	Andrew		Johnson		Male		12.1.1966	1356		1356@professor.email.com
82092046375	Instructor		Neil		Foster		Male		20.9.1982	1361		1361@professor.email.com
69083046376	Distinguished_Prof	Brad		Myers		Male		30.8.1969	1363		1363@professor.email.com
86052546390	Instructor		Margaret	Nguyen		Female		25.5.1986	1365		1365@professor.email.com
64120946405	Assistant_Professor	Bella		Rivera		Female		9.12.1964	1368		1368@professor.email.com
83010846412	Distinguished_Prof	Zia		Green		Female		8.1.1983	1372		1372@professor.email.com
62091146423	Research_Associate	Marvin		Perez		Male		11.9.1962	1376		1376@professor.email.com
60091946437	Distinguished_Prof	Luke		Hall		Male		19.9.1960	1382		1382@professor.email.com
60040446455	Instructor		Mary		Richardson	Female		4.4.1960	1390		1390@professor.email.com
69032546456	Associate_Professor	George		Butler		Male		25.3.1969	1396		1396@professor.email.com
65051246460	Research_Associate	Ben		Walker		Male		12.5.1965	1402		1402@professor.email.com
79091946470	Research_Professor	Harry		Carter		Male		19.9.1979	1406		1406@professor.email.com
53091246482	Research_Associate	Neil		Scott		Male		12.9.1953	1414		1414@professor.email.com
65022346494	Research_Associate	Lucy		Gracia		Female		23.2.1965	1423		1423@professor.email.com
80120946512	Instructor		Edward		Hughes		Male		9.12.1980	1425		1425@professor.email.com
73092646519	Full_Professor		Amanda		Gutierrez	Female		26.9.1973	1431		1431@professor.email.com
68120146527	Lecturer		Linda		Edwards		Female		1.12.1968	1433		1433@professor.email.com
51090346530	Research_Professor	Arthur		Martinez	Male		3.9.1951	1443		1443@professor.email.com
84062946541	Full_Professor		Sidney		Adams		Female		29.6.1984	1453		1453@professor.email.com
